58:27.1	40.62976	116.2066	69.65972	7.68659	166.8971	6	北京市       	北京市县      	延庆县       
58:59.2	40.23863	115.6767	28.63551	4.887126	0	2	河北省       	张家口市      	怀来县       
58:59.6	40.72512	116.234	93.87818	8.230416	69.80341	6	北京市       	北京市县      	延庆县       
59:06.3	40.0865	116.1761	65.05731	15.42099	70.04694	6	北京市       	北京市市辖区    	北京市市辖区    
59:10.2	40.59962	116.2076	38.8112	6.133128	69.85143	6	北京市       	北京市县      	延庆县       
59:10.7	40.24347	116.127	-29.73884	-8.459047	0	2	北京市       	北京市县      	昌平县       
59:25.3	40.06179	116.0708	63.53361	8.560318	70.05608	6	北京市       	北京市市辖区    	北京市市辖区    
59:48.5	40.09223	116.1758	40.31767	10.53196	0	6	北京市       	北京市市辖区    	北京市市辖区    
59:49.0	40.47725	116.2705	74.40181	5.771777	0	6	北京市       	北京市县      	延庆县       
00:32.3	40.62878	116.2102	154.6547	11.24762	69.84006	6	北京市       	北京市县      	延庆县       
00:48.9	40.07856	116.0223	178.25	25.63595	70.04971	6	北京市       	北京市市辖区    	北京市市辖区    
00:53.5	40.33109	116.0673	129.5206	13.81553	69.95361	6	北京市       	北京市县      	昌平县       
01:15.7	40.83577	116.1949	102.0019	11.9782	69.76087	6	河北省       	张家口市      	赤城县       
01:39.7	40.22567	116.1414	50.79772	10.83685	42.47568	6	北京市       	北京市县      	昌平县       
01:39.7	40.24601	116.1536	61.453	10.77532	222.5295	6	北京市       	北京市县      	昌平县       
02:07.8	40.25681	115.9278	-36.03138	-9.04317	69.98198	6	河北省       	张家口市      	怀来县       
02:17.5	39.98356	116.1972	88.59444	11.00979	70.08577	6	北京市       	北京市市辖区    	北京市市辖区    
02:50.9	40.80939	116.2214	81.90504	10.38004	0	6	河北省       	张家口市      	赤城县       
02:54.8	40.06214	116.0611	93.31224	9.632231	0	6	北京市       	北京市市辖区    	北京市市辖区    
02:58.4	40.27322	116.1113	42.20503	10.59264	69.97572	6	北京市       	北京市县      	昌平县       
03:31.4	41.29661	115.9773	96.01146	7.229098	69.58395	6	河北省       	张家口市      	赤城县       
03:40.7	39.97941	116.1806	42.60835	6.059854	70.08751	6	北京市       	北京市市辖区    	北京市市辖区    
03:41.2	40.7926	116.1992	61.87135	6.946959	69.77762	6	河北省       	张家口市      	赤城县       
03:56.2	40.65668	116.2676	45.45569	7.970312	0	5	北京市       	北京市县      	延庆县       
04:03.9	40.24895	116.1487	110.7665	15.24529	69.98514	6	北京市       	北京市县      	昌平县       
04:11.4	42.23399	116.7796	-12.1237	-5.172779	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
04:11.7	42.2118	116.7729	-32.55913	-9.692021	55.63231	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
04:11.9	42.21266	116.7758	-36.57389	-15.10148	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
04:59.3	40.28364	116.0956	168.287	13.21518	0	6	北京市       	北京市县      	昌平县       
05:23.7	40.56874	116.2377	68.91634	7.737975	0	6	北京市       	北京市县      	延庆县       
05:44.8	40.22305	116.1522	73.80166	11.80826	69.995	6	北京市       	北京市县      	昌平县       
05:44.8	40.23416	116.1386	50.38097	6.788173	42.47048	6	北京市       	北京市县      	昌平县       
05:46.7	40.82201	116.2033	70.96729	6.987548	69.76637	6	河北省       	张家口市      	赤城县       
05:49.6	42.22993	116.717	-27.51379	-10.06218	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
05:52.6	40.0143	116.2411	79.67423	11.998	70.07411	6	北京市       	北京市市辖区    	北京市市辖区    
06:08.6	40.57093	116.3312	46.0081	4.089609	166.8971	6	北京市       	北京市县      	延庆县       
06:56.9	40.129	116.1755	56.62261	12.49602	42.53629	6	北京市       	北京市市辖区    	北京市市辖区    
07:17.5	40.16966	116.2289	38.61153	8.521165	70.01511	6	北京市       	北京市县      	昌平县       
07:36.6	42.19892	116.7618	-22.9471	-12.23845	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
07:44.7	40.56902	116.3448	36.49277	5.838843	55.63239	6	北京市       	北京市县      	延庆县       
07:44.7	40.57628	116.2519	19.04069	4.431287	0	2	北京市       	北京市县      	延庆县       
07:47.3	40.35859	116.1716	129.5143	10.04717	172.1967	6	北京市       	北京市县      	昌平县       
08:11.7	40.15767	116.2312	36.05643	9.230448	70.01962	6	北京市       	北京市县      	昌平县       
08:28.5	40.24823	116.2209	36.48527	8.051921	69.9852	6	北京市       	北京市县      	昌平县       
08:42.9	41.34972	116.0881	-24.33528	-3.499905	0	6	河北省       	张家口市      	赤城县       
08:47.6	42.24195	116.7218	-15.2495	-6.099798	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
08:53.2	40.07922	116.0527	81.44543	9.06523	70.04951	6	北京市       	北京市市辖区    	北京市市辖区    
09:30.9	40.12242	116.2058	31.19283	6.54538	0	5	北京市       	北京市市辖区    	北京市市辖区    
09:35.1	42.23479	116.7291	-30.02244	-8.539715	69.22118	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
09:35.2	42.23653	116.73	-21.14811	-8.732124	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
10:11.6	40.08996	116.0555	56.83408	5.773621	70.04539	6	北京市       	北京市市辖区    	北京市市辖区    
10:21.0	40.16251	116.1868	67.81155	12.05539	42.51539	6	北京市       	北京市县      	昌平县       
10:38.9	42.22076	116.757	-27.96894	-10.22864	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
10:38.9	42.2069	116.7512	-23.86867	-3.867329	0.0949949	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
10:39.0	42.23259	116.7602	-17.56326	-9.367074	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
10:39.2	42.22042	116.7573	-24.96076	-11.41063	0	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
10:51.4	40.1489	116.0924	31.17424	4.866222	172.2294	6	北京市       	北京市县      	昌平县       
10:57.4	41.41808	116.135	32.51138	4.427081	55.63239	6	河北省       	承德市       	丰宁满族自治县   
11:27.2	42.19318	116.7356	-26.84318	-7.469406	55.63231	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
11:27.3	42.23001	116.7618	-13.79085	-4.105182	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
11:43.6	40.55304	116.2267	84.20557	2.025999	0.0949949	6	北京市       	北京市县      	延庆县       
12:01.3	42.24972	116.8097	-35.32284	-10.27574	69.21538	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
12:01.9	42.2381	116.8084	-70.30479	-7.825228	69.21994	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
12:16.2	42.21618	116.7488	-19.64748	-4.657181	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
12:20.7	39.93026	115.7671	-23.1962	-6.59803	70.10605	6	北京市       	北京市市辖区    	北京市市辖区    
12:26.3	43.00985	115.3219	104.4807	12.04823	0	5	内蒙古自治区    	锡林郭勒盟     	正蓝旗       
12:30.5	40.52252	116.3539	76.17678	6.544045	69.88081	6	北京市       	北京市县      	延庆县       
13:11.1	42.22021	116.7453	-24.96804	-5.810744	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
13:11.3	40.25536	116.2165	45.32955	7.840787	69.98262	6	北京市       	北京市县      	昌平县       
13:11.4	42.21272	116.761	-27.53485	-6.40811	55.63231	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
13:11.7	42.21133	116.7436	-14.14861	-5.326536	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
13:20.3	40.59617	116.2641	55.61035	6.03231	0	6	北京市       	北京市县      	延庆县       
13:41.7	39.94323	116.1309	77.69555	9.123881	70.10115	6	北京市       	北京市市辖区    	北京市市辖区    
13:49.4	40.14711	116.2117	95.74595	11.78412	70.02387	6	北京市       	北京市县      	昌平县       
14:03.8	40.14083	115.806	28.34187	8.061687	0	2	北京市       	北京市市辖区    	北京市市辖区    
